Pathway name	RSPSS4	RSBA7	RSMOLK2	RSRUN2340	RSCFB2957	RSBDBR229	RSGMI1000	RSK60	RSPSI07	RSR24	RSUW551
exchange_plant_cell_wall	[]	[R_EX_PCW_L_Fucose_Rsl_e_, R_EX_PCW_L_Fucose_e_]	[R_EX_PCW_RSc0102_act_e_, R_EX_PCW_L_Fucose_Rsl_e_, R_EX_PCW_RSc0104_act_e_, R_EX_PCW_L_Fucose_e_]	[]	[R_EX_PCW_RSc0102_act_e_, R_EX_PCW_RSp1545_e_, R_EX_PCW_RSc0104_act_e_, R_EX_PCW_RSc3188_e_]	[R_EX_PCW_RSc0102_act_e_, R_EX_PCW_RSp0294_act_e_, R_EX_PCW_RSp0540_e_, R_EX_PCW_RSp1545_e_, R_EX_PCW_RSc0104_act_e_, R_EX_PCW_RSc3188_e_]	[]	[R_EX_PCW_RSc0246_act_e_, R_EX_PCW_RSc0249_act_e_]	[R_EX_PCW_RSc0102_act_e_, R_EX_PCW_RSp0294_act_e_, R_EX_PCW_RSp0540_e_, R_EX_PCW_RSp1545_e_, R_EX_PCW_RSc0104_act_e_, R_EX_PCW_RSc3188_e_]	[R_EX_PCW_RSp0294_act_e_, R_EX_PCW_RSp1545_e_, R_EX_PCW_RSc3188_e_]	[R_EX_PCW_RSc0102_act_e_, R_EX_PCW_L_Fucose_Rsl_e_, R_EX_PCW_RSc0104_act_e_, R_EX_PCW_RSp1539_e_, R_EX_PCW_L_Fucose_e_]
exchange_polyamine_substrate	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_quorum_sensing	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_ros	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_secondary_metabolites	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
extracellular_transport_reactions	[]	[]	[]	[R_GLCURt2r, R_GALURt2r]	[]	[]	[]	[R_GLCURt2r, R_GALURt2r]	[]	[]	[]
fatty_acid_b_oxidation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
fatty_acid_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
fatty_acid_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
fatty_acid_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
fatty_acid_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ferulate_degradation	[]	[]	[]	[]	[]	[R_FERULCOAS, R_FCOAHA]	[]	[R_FERULCOAS, R_FCOAHA]	[]	[]	[]
flavin_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
